Subject,Class Name,Available Slots,Demand,Rank,Days,Start Time,End Time
PE 2,WF W1,20,77,1,MTWHF,0700,0820
PE 2,WF W1-1,20,84,2,MTWHF,0700,0820
PE 2,CH W1,20,32,3,MTWHF,0700,0820
PE 2,UF W1,20,29,4,MTWHF,0700,0820
PE 2,ST W1,20,96,5,MTWHF,0700,0820
PE 2,OR W1,20,33,6,MTWHF,0700,0820
Soc Sci 1,X2-1,20,154,7,MTWHF,0900,1100
ARTS 1,X2-3,20,24,8,MTWHF,0900,1100
PE 2,HIIT W3,20,23,9,MTWHF,1000,1120
Math 23,X9-3,20,106,10,MTWHF,1210,1445
Math 23,X9-1,20,113,11,MTWHF,1210,1445
Math 23,X9-2,20,109,12,MTWHF,1210,1445
Math 23,X9-4,20,108,13,MTWHF,1210,1445
Math 23,X9,20,113,14,MTWHF,1210,1445
Math 23,X10,20,76,15,MTWHF,1445,1720
Math 23,X10-1,20,74,16,MTWHF,1445,1720
Math 23,X10-2,20,72,17,MTWHF,1445,1720
Soc Sci 1,X2,20,174,18,MTWHF,0900,1100
